"slide_no","chapter","title","duration_min","background_style","purpose_message","text_content","visual_element","color_scheme","speaker_notes","figure_files"
"1","封面","YouTube 影片早期成長與爆紅預測","0.5","深色全版","建立主題印象","主標：YouTube 影片早期成長與爆紅預測（88pt bold）
副標：3 小時資料能預測 48 小時爆紅嗎？（28pt）
課程：資料探勘導論 2026 期末專題","右下角：向右上延伸的細折線（成長曲線意象），末端圓點
版面留白，主標置中偏左","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","讓封面停留 5 秒不開口。聽眾讀完標題後說：「我們想回答一個問題——」",""
"2","Ch01 開場","同樣剛發布 3 小時，差了 7 倍","1.0","深色全版","數據法開場：讓聽眾立刻感受到預測問題的真實感","頂部：「同樣在 3 小時前發布——」（28pt）
左側大字：184（#EFF1E8 60%，non-viral）
中央：vs
右側大字：1,312（#EFF1E8 bold，viral）
底部：「48 小時後，右邊爆紅了。差距在 3 小時就已經出現。」（24pt italic）","左右兩側以大數字為主視覺，中間 vs 分隔
底部加一條細橫線把說明框起來","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「你剛上傳了一支影片，三小時過去了。左邊這支有 184 個觀看，右邊這支有 1,312 個。」
「48 小時後，右邊達到爆紅門檻，左邊沒有。這 7 倍的差距——在第 3 小時就已經出現了。」
「我們想問的是：這個差距能被預測嗎？」",""
"3","Ch01 開場","任務一：3 小時預測 48 小時爆紅","0.5","淺色全版","清楚定義分類任務的輸入輸出","任務：分類（二元）

輸入：影片發布後 0–3 小時的資料
輸出：48 小時內是否達到爆紅門檻？

病毒率：12.6%（1,916 支影片中 241 支爆紅）","時間軸：0h ─── 3h（輸入範圍） ─── 48h（標籤點）
輸入段填色，標籤段虛線
三個關鍵時間點標出圓點","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「第一個任務是分類——用前 3 小時預測 48 小時爆紅。」
「資料只有 12.6% 是爆紅，這是個嚴重的類別不平衡問題。」",""
"4","Ch01 開場","任務二：48 小時預測未來 24 小時成長","0.5","淺色全版","清楚定義迴歸任務的輸入輸出","任務：迴歸（連續值）

輸入：影片發布後 0–48 小時的資料
輸出：log(第 48–72 小時新增觀看數)

樣本數：2,394 筆","時間軸：0h ─── 48h（輸入範圍） ─── 72h（標籤點）
輸入段填色，標籤段虛線","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「第二個任務是迴歸——用前 48 小時預測接下來 24 小時的新增觀看。」
「目標值取 log 壓縮長尾分布。」",""
"5","Ch02 資料蒐集","Ch02　資料蒐集","0.3","章節分隔頁","章節切換","02
資料蒐集

爬蟲架構 ／ 蒐集規模 ／ Shorts 偵測 ／ 資料樣貌","章節編號 02 超大字（120pt），章節名稱（56pt bold），副標小字（24pt）","背景 #343734 | 文字 #EFF1E8","（不說話，讓聽眾看章節切換）",""
"6","Ch02 資料蒐集","爬蟲蒐集了什麼：三層資料結構","1.0","深色全版","說明爬蟲蒐集的資料種類與時間點設計","三層結構（垂直排列）：

① 靜態資訊（一次性）
   標題、類別、頻道訂閱數、發布時間、Shorts/Long

② 時序快照（多次追蹤）
   0h / 1h / 3h / 48h / 72h 的觀看 / 按讚 / 留言數

③ 留言快照（0–3h 以內）
   每則留言的文字、時間、按讚數","三個圓角方塊垂直排列，箭頭連接
每個方塊內列出關鍵欄位名稱","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「我們建了一套爬蟲，蒐集三層資料。」
「第一層是靜態資訊，發布時爬一次就夠。第二層是時序快照，追蹤五個時間點。第三層是留言，只取 0–3 小時以內的留言，確保不洩漏未來資訊。」",""
"7","Ch02 資料蒐集","蒐集規模：四個關鍵數字","0.5","淺色全版","用大數字建立資料規模的直覺","四個大數字（排 2×2）：

1,916　分類樣本數
2,394　迴歸樣本數
33,895　時序觀測 rows
642　有留言情緒資料的影片","四個數字各佔一個方塊，數字 80pt bold，說明文字 24pt
2×2 格線排列","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「最終蒐集到的資料規模：1,916 支分類樣本、2,394 支迴歸樣本，時序觀測共 33,895 筆，其中 642 支影片有完整的留言情緒資料。」",""
"8","Ch02 資料蒐集","Shorts 偵測：用 HTTP 狀態碼判斷","0.75","深色全版","說明 Shorts/Long 判斷機制，這是資料分層的基礎","判斷邏輯：

GET /shorts/{video_id}
├── HTTP 200　→　Shorts ✓
└── HTTP 303　→　長影片（redirect to /watch）

用途：
• is_shorts 本身作為模型特徵
• 資料切分時分組依據
• 爆紅門檻計算（Shorts 最低 10,000，長影片 2,000）","左側：HTTP 請求流程圖（request → branch → label）
右側：Shorts vs Long 圖示（播放鍵 icon）","背景 #70A1BD | 主文字 #EFF1E8 | 次文字 #EFF1E8 80%","「判斷一支影片是不是 Shorts，我們用 HTTP redirect 行為：對 /shorts/{id} 發請求，回 200 是 Shorts，回 303 redirect 是一般影片。」
「這個欄位同時也是模型特徵和切分依據。」",""
"9","Ch02 資料蒐集","最大的挑戰：發現延遲讓 99% 的資料無法使用","1.5","淺色全版","交代最核心的工程挑戰，說明問題→原因→解法","問題：
爬了 10,238 支影片，只有 202 支（1.97%）有 0–3h 資料

原因：
影片被發現時平均已發布 30 分鐘，0–3h 視窗已錯過

解法：
改用 fresh_search（YouTube 最新上傳搜尋）
本地過濾：只追蹤 ≤5 分鐘前發布的影片

其他挑戰（補充）：
• YouTube API 持續改版 → 改用 InnerTube
• 雙 Scheduler 同時寫入 JSON → 加 PID 避免覆寫
• _sleep race condition → 爬蟲靜默停擺 10 小時","頁面上方：醒目大字「10,238 → 202（1.97%）」
下方：三欄（問題 / 原因 / 解法）文字框
最底部：補充挑戰用小字列點","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「建爬蟲遇到最大的問題不是技術，是策略。」
「我們最初用 Explore 和 Channel 來發現影片，結果爬了超過一萬支，卻只有 202 支有完整的 0–3 小時資料——1.97%。」
「問題在於：影片被發現的時候，平均已經過了 30 分鐘，早就錯過時間窗口了。」
「解法是改成 fresh_search，再加上本地過濾，只追蹤 5 分鐘以內剛上傳的影片。」",""
"10","Ch02 資料蒐集","影片類別分布","0.5","淺色全版","展示資料的影片類別組成","重點：Entertainment 最多，其次 Gaming、People & Blogs、Music
分布多元，非單一類型","全版大圖：fig04_category_distribution.png
圖下方一句話：「Entertainment 佔最大宗，但涵蓋多元類別」（24pt）","背景 #EFF1E8 | 主文字 #343734 | 次文字 #343734 80%","「這是資料集的影片類別分布。Entertainment 最多，但我們的資料涵蓋 Gaming、Music、People & Blogs 等多種類型，不是單一領域。」","figures/fig04_category_distribution.png"
